iter	Passed	Remaining
0	193	57736
1	226	33712
2	268	26550
3	300	22206
4	335	19806
5	374	18363
6	413	17290
7	468	17096
8	521	16862
9	561	16277
10	605	15907
11	650	15617
12	707	15612
13	756	15453
14	796	15136
15	833	14799
16	866	14430
17	902	14131
18	934	13815
19	982	13748
20	1018	13537
21	1056	13344
22	1096	13203
23	1134	13044
24	1173	12913
25	1217	12831
26	1261	12760
27	1298	12612
28	1335	12480
29	1370	12336
30	1409	12233
31	1444	12096
32	1485	12020
33	1524	11927
34	1563	11841
35	1602	11749
36	1636	11630
37	1672	11529
38	1707	11425
39	1748	11367
40	1785	11279
41	1821	11192
42	1854	11084
43	1893	11017
44	1925	10911
45	1958	10811
46	1999	10761
47	2030	10660
48	2064	10576
49	2099	10498
50	2131	10407
51	2164	10323
52	2200	10254
53	2246	10234
54	2281	10165
55	2319	10107
56	2352	10027
57	2386	9958
58	2420	9888
59	2454	9819
60	2499	9793
61	2535	9733
62	2568	9662
63	2604	9602
64	2637	9537
65	2667	9457
66	2699	9386
67	2735	9333
68	2768	9267
69	2802	9208
70	2833	9139
71	2866	9078
72	2900	9019
73	2935	8963
74	2967	8902
75	3011	8874
76	3045	8818
77	3078	8761
78	3112	8707
79	3150	8664
80	3183	8607
81	3215	8548
82	3249	8495
83	3286	8451
84	3318	8393
85	3352	8342
86	3386	8292
87	3417	8234
88	3450	8181
89	3482	8126
90	3524	8093
91	3559	8047
92	3593	7997
93	3628	7952
94	3660	7897
95	3692	7845
96	3725	7796
97	3757	7745
98	3797	7710
99	3830	7661
100	3864	7613
101	3897	7564
102	3927	7512
103	3959	7461
104	3992	7415
105	4032	7380
106	4064	7331
107	4097	7284
108	4128	7234
109	4164	7192
110	4198	7148
111	4231	7103
112	4265	7058
113	4304	7022
114	4335	6974
115	4368	6929
116	4402	6885
117	4439	6847
118	4472	6802
119	4505	6757
120	4548	6728
121	4581	6683
122	4614	6640
123	4646	6594
124	4678	6550
125	4711	6506
126	4743	6461
127	4785	6430
128	4816	6384
129	4847	6338
130	4879	6295
131	4914	6254
132	4950	6215
133	4989	6180
134	5028	6146
135	5067	6110
136	5103	6071
137	5135	6029
138	5167	5985
139	5199	5942
140	5233	5901
141	5275	5870
142	5307	5827
143	5339	5784
144	5371	5742
145	5405	5701
146	5440	5662
147	5471	5619
148	5504	5578
149	5544	5544
150	5576	5502
151	5612	5464
152	5644	5423
153	5677	5382
154	5709	5340
155	5741	5299
156	5781	5266
157	5812	5223
158	5843	5181
159	5874	5139
160	5906	5099
161	5937	5057
162	5971	5018
163	6004	4979
164	6041	4942
165	6075	4904
166	6108	4864
167	6139	4823
168	6170	4782
169	6201	4742
170	6232	4701
171	6272	4667
172	6309	4631
173	6342	4592
174	6373	4552
175	6405	4513
176	6438	4474
177	6475	4438
178	6517	4405
179	6554	4369
180	6584	4328
181	6617	4290
182	6652	4253
183	6686	4215
184	6797	4225
185	6878	4215
186	7065	4269
187	7201	4290
188	7299	4287
189	7443	4309
190	7578	4324
191	7646	4300
192	7729	4285
193	7765	4243
194	7798	4199
195	7833	4156
196	7867	4113
197	7901	4070
198	7936	4027
199	7967	3983
200	7998	3939
201	8031	3896
202	8064	3853
203	8095	3809
204	8128	3766
205	8161	3724
206	8197	3682
207	8230	3640
208	8260	3596
209	8291	3553
210	8323	3511
211	8355	3468
212	8389	3426
213	8420	3383
214	8453	3341
215	8486	3300
216	8519	3258
217	8552	3216
218	8585	3175
219	8614	3132
220	8646	3090
221	8678	3049
222	8707	3006
223	8740	2965
224	8771	2923
225	8802	2882
226	8836	2841
227	8868	2800
228	8905	2761
229	8939	2720
230	8974	2680
231	9005	2639
232	9036	2598
233	9070	2558
234	9103	2517
235	9135	2477
236	9167	2436
237	9199	2396
238	9233	2356
239	9266	2316
240	9300	2276
241	9334	2237
242	9368	2197
243	9403	2158
244	9438	2118
245	9471	2079
246	9504	2039
247	9537	1999
248	9571	1960
249	9605	1921
250	9638	1881
251	9671	1842
252	9705	1802
253	9738	1763
254	9770	1724
255	9800	1684
256	9830	1644
257	9863	1605
258	9898	1566
259	9932	1528
260	9964	1488
261	9995	1449
262	10026	1410
263	10058	1371
264	10091	1332
265	10127	1294
266	10160	1255
267	10194	1217
268	10229	1178
269	10263	1140
270	10296	1101
271	10329	1063
272	10362	1024
273	10405	987
274	10440	949
275	10474	910
276	10505	872
277	10541	834
278	10573	795
279	10605	757
280	10635	719
281	10667	680
282	10701	642
283	10732	604
284	10770	566
285	10809	529
286	10842	491
287	10872	453
288	10904	415
289	10939	377
290	10972	339
291	11009	301
292	11040	263
293	11107	226
294	11169	189
295	11252	152
296	11340	114
297	11417	76
298	11501	38
299	11586	0
