temperature,humidity,wind_speed,pressure,rainfall,disaster_type,risk
24,36,29,1004,20,Landslide,Low
28,42,24,1007,362,Flood,Extreme
45,90,12,1019,383,Cyclone,Extreme
43,27,25,1013,322,Landslide,Extreme
40,56,22,1023,432,Landslide,Extreme
30,70,12,1008,65,Wildfire,Medium
34,44,6,990,488,Flood,Extreme
40,56,8,1016,118,Landslide,Medium
16,41,14,988,412,Wildfire,Extreme
20,70,23,985,425,Earthquake,Extreme
23,75,19,990,331,Cyclone,Extreme
33,54,12,1018,261,Wildfire,Extreme
45,67,21,993,500,Flood,Extreme
19,36,21,1021,12,Earthquake,Low
37,95,2,1023,4,Flood,Low
45,90,12,995,144,Earthquake,High
31,71,14,1018,336,Landslide,Extreme
14,33,8,980,234,Flood,High
28,60,41,1006,467,Landslide,Extreme
13,50,10,981,465,Earthquake,Extreme
44,36,23,981,43,Flood,Medium
32,65,42,1003,395,Landslide,Extreme
25,24,6,996,353,Wildfire,Extreme
36,49,14,991,126,Earthquake,Medium
48,33,11,1012,336,Flood,Extreme
18,26,15,1001,177,Cyclone,Medium
22,88,7,998,171,Flood,High
28,35,38,994,236,Cyclone,Extreme
35,92,35,981,407,Cyclone,Extreme
29,100,39,984,421,Cyclone,Extreme
14,96,35,1001,259,Earthquake,Extreme
11,26,27,1019,70,Landslide,Low
16,54,10,1014,43,Wildfire,Low
15,79,6,1024,286,Flood,Extreme
27,36,40,1022,133,Flood,Medium
20,91,1,985,58,Cyclone,Medium
42,71,31,1004,427,Flood,Extreme
28,52,44,1024,100,Landslide,Medium
32,81,11,1012,485,Earthquake,Extreme
35,30,11,1018,432,Landslide,Extreme
46,61,10,1004,359,Wildfire,Extreme
41,88,8,987,378,Landslide,Extreme
48,75,43,989,427,Earthquake,Extreme
46,26,17,996,51,Flood,Medium
40,55,12,981,108,Earthquake,Medium
33,91,19,1007,28,Cyclone,Medium
47,37,44,1014,153,Flood,High
31,50,15,1005,298,Cyclone,Extreme
46,93,15,1003,417,Landslide,Extreme
35,53,43,1005,379,Cyclone,Extreme
33,91,15,1001,148,Flood,High
23,34,4,1005,487,Earthquake,Extreme
48,52,14,1015,136,Landslide,High
21,39,14,1016,314,Flood,Extreme
39,41,27,1024,404,Landslide,Extreme
17,82,13,1003,99,Earthquake,Medium
37,100,20,989,436,Wildfire,Extreme
12,53,28,1007,122,Cyclone,Medium
14,56,2,982,460,Cyclone,Extreme
22,30,8,990,454,Wildfire,Extreme
24,62,15,1024,59,Wildfire,Low
16,78,19,1023,395,Cyclone,Extreme
13,69,13,987,307,Wildfire,Extreme
11,51,3,1010,331,Landslide,Extreme
36,80,4,984,379,Cyclone,Extreme
20,74,45,1004,319,Wildfire,Extreme
25,62,43,1013,137,Landslide,High
11,47,33,982,406,Flood,Extreme
10,82,7,1004,350,Flood,Extreme
30,39,12,1008,256,Wildfire,High
15,43,17,1018,49,Earthquake,Low
45,87,32,1002,292,Flood,Extreme
21,74,29,994,219,Landslide,Extreme
36,23,6,1013,174,Earthquake,Medium
38,68,8,981,384,Wildfire,Extreme
18,61,8,989,471,Wildfire,Extreme
14,83,1,988,180,Flood,High
35,84,3,1021,9,Earthquake,Low
25,92,38,1018,163,Wildfire,High
12,42,4,989,132,Flood,Medium
35,37,24,999,107,Landslide,Medium
44,85,39,1024,402,Flood,Extreme
37,65,3,1001,204,Flood,High
16,43,33,1008,380,Landslide,Extreme
40,76,7,988,205,Cyclone,High
40,56,36,1007,67,Earthquake,Medium
31,35,40,1008,391,Wildfire,Extreme
15,58,18,984,55,Earthquake,Medium
46,95,38,1004,160,Earthquake,Extreme
39,62,30,1025,489,Earthquake,Extreme
31,87,26,1019,330,Wildfire,Extreme
39,58,1,1018,347,Earthquake,Extreme
42,36,18,1003,301,Flood,Extreme
49,38,44,1007,108,Earthquake,High
12,21,11,987,480,Cyclone,Extreme
44,63,21,985,428,Wildfire,Extreme
12,100,42,1017,34,Earthquake,Medium
13,26,8,986,220,Wildfire,High
22,44,2,991,294,Cyclone,Extreme
23,83,32,1005,342,Landslide,Extreme
23,79,36,997,176,Cyclone,High
31,62,2,1020,59,Flood,Low
49,37,33,1013,280,Landslide,Extreme
49,79,4,1008,13,Earthquake,Low
39,95,25,1015,378,Wildfire,Extreme
26,28,34,1008,54,Flood,Medium
27,83,20,1003,95,Landslide,Medium
38,78,7,998,308,Cyclone,Extreme
13,67,24,1008,76,Flood,Medium
32,79,12,990,458,Landslide,Extreme
38,88,21,983,187,Flood,Extreme
48,57,27,983,219,Flood,Extreme
48,72,7,980,212,Landslide,Extreme
24,85,43,984,48,Cyclone,Medium
15,43,38,996,314,Wildfire,Extreme
13,78,15,1010,330,Wildfire,Extreme
35,62,22,1018,100,Flood,Medium
49,85,42,1021,319,Earthquake,Extreme
44,91,4,991,194,Wildfire,High
16,92,21,1006,352,Flood,Extreme
17,52,20,982,480,Wildfire,Extreme
37,67,7,1008,44,Landslide,Medium
13,35,32,1013,159,Earthquake,Medium
39,30,41,1010,373,Flood,Extreme
11,27,36,983,338,Wildfire,Extreme
47,56,22,992,319,Flood,Extreme
13,39,39,992,163,Wildfire,High
45,88,7,1000,499,Wildfire,Extreme
46,94,8,1008,123,Cyclone,High
43,82,23,996,471,Earthquake,Extreme
34,33,34,989,327,Wildfire,Extreme
28,25,35,992,286,Flood,Extreme
49,86,1,1023,100,Wildfire,Medium
46,75,44,1004,236,Cyclone,Extreme
44,96,19,984,320,Cyclone,Extreme
41,60,30,1016,252,Cyclone,Extreme
37,76,14,997,15,Earthquake,Medium
24,55,39,998,12,Landslide,Medium
30,55,19,1012,298,Wildfire,Extreme
16,83,34,1015,93,Flood,Medium
20,56,16,1016,40,Cyclone,Low
20,92,21,1013,375,Earthquake,Extreme
38,71,32,981,472,Flood,Extreme
46,79,12,984,9,Earthquake,Medium
36,57,17,1009,235,Landslide,High
11,83,18,998,120,Landslide,Medium
11,78,16,988,316,Wildfire,Extreme
30,41,12,1019,313,Landslide,Extreme
20,47,8,991,453,Wildfire,Extreme
13,44,33,1021,5,Earthquake,Low
22,27,17,1015,332,Wildfire,Extreme
46,85,15,1017,315,Flood,Extreme
38,69,45,994,57,Earthquake,Medium
43,24,11,988,111,Flood,Medium
35,26,29,987,494,Flood,Extreme
44,88,15,1024,47,Cyclone,Medium
20,39,20,1014,449,Flood,Extreme
45,41,8,996,243,Cyclone,High
42,32,12,1018,443,Earthquake,Extreme
11,73,11,1017,349,Wildfire,Extreme
36,46,39,992,88,Wildfire,Medium
45,43,35,1013,201,Cyclone,High
41,90,25,1021,176,Flood,High
35,83,5,1013,263,Cyclone,Extreme
16,79,27,1010,387,Landslide,Extreme
32,45,8,1001,352,Wildfire,Extreme
43,42,2,1024,251,Earthquake,High
43,97,17,1018,323,Wildfire,Extreme
16,35,18,987,371,Flood,Extreme
16,65,28,1013,495,Wildfire,Extreme
50,88,36,983,95,Wildfire,High
32,37,17,1007,111,Wildfire,Medium
25,54,36,1018,136,Wildfire,High
32,29,13,991,43,Landslide,Low
15,38,11,987,382,Cyclone,Extreme
39,62,1,985,461,Cyclone,Extreme
45,92,7,1016,382,Landslide,Extreme
23,48,16,1001,354,Flood,Extreme
10,60,7,989,180,Landslide,High
12,22,39,1000,275,Earthquake,Extreme
44,29,39,1012,233,Cyclone,Extreme
49,98,43,983,492,Flood,Extreme
49,36,13,984,348,Landslide,Extreme
13,27,26,1020,183,Landslide,Medium
27,60,45,1000,308,Cyclone,Extreme
14,94,25,1008,4,Flood,Low
29,51,18,990,162,Flood,High
23,33,3,1005,14,Landslide,Low
28,93,43,996,109,Wildfire,High
17,70,26,983,215,Earthquake,Extreme
14,94,43,1021,117,Earthquake,High
19,66,42,998,68,Earthquake,Medium
39,100,41,985,283,Cyclone,Extreme
46,99,34,999,230,Flood,Extreme
15,37,21,995,209,Wildfire,High
44,49,3,1018,425,Cyclone,Extreme
23,53,40,1021,88,Cyclone,Medium
18,44,1,1024,193,Cyclone,Medium
34,66,8,988,226,Wildfire,High
50,53,18,1003,478,Flood,Extreme
50,34,7,1009,276,Cyclone,Extreme
33,72,10,1008,96,Landslide,Medium
29,64,20,1025,102,Landslide,Medium
45,98,45,999,94,Landslide,High
41,74,33,1004,493,Earthquake,Extreme
34,84,25,1014,156,Flood,High
12,87,43,1012,464,Landslide,Extreme
45,70,16,1019,112,Landslide,Medium
35,72,23,993,326,Wildfire,Extreme
21,53,5,1025,249,Flood,High
32,36,22,998,108,Cyclone,Medium
37,30,26,1011,16,Cyclone,Low
47,22,26,1009,159,Landslide,High
18,86,11,998,7,Wildfire,Low
48,30,29,1025,390,Earthquake,Extreme
16,42,22,988,431,Landslide,Extreme
49,93,33,998,371,Cyclone,Extreme
31,92,6,1016,441,Flood,Extreme
14,51,31,1012,431,Landslide,Extreme
37,42,25,1022,379,Wildfire,Extreme
15,82,34,990,461,Landslide,Extreme
49,53,24,994,347,Cyclone,Extreme
27,55,16,1021,233,Earthquake,High
42,30,2,991,27,Landslide,Low
24,89,10,1025,8,Earthquake,Low
29,69,22,982,13,Flood,Medium
21,47,3,995,128,Cyclone,Medium
43,31,32,998,108,Landslide,Medium
41,82,31,992,404,Earthquake,Extreme
40,79,26,1000,52,Earthquake,Medium
23,79,23,1024,276,Cyclone,Extreme
37,57,17,1005,171,Wildfire,High
12,62,10,1020,320,Wildfire,Extreme
11,92,32,982,481,Wildfire,Extreme
41,65,3,1021,128,Landslide,Medium
41,82,12,1014,257,Flood,Extreme
25,90,8,991,317,Landslide,Extreme
33,29,39,1005,334,Wildfire,Extreme
22,79,37,1021,101,Flood,Medium
50,76,17,1016,481,Wildfire,Extreme
23,42,42,1016,112,Landslide,Medium
31,34,42,1017,73,Landslide,Medium
10,62,4,1020,71,Flood,Low
43,74,1,1005,467,Flood,Extreme
15,82,37,1019,199,Landslide,High
11,34,17,1014,14,Cyclone,Low
28,44,23,996,136,Earthquake,Medium
17,39,36,989,247,Flood,Extreme
23,98,28,998,27,Wildfire,Medium
36,94,40,1005,169,Landslide,Extreme
26,66,26,1002,273,Earthquake,Extreme
23,60,18,1025,400,Flood,Extreme
50,63,45,1011,161,Cyclone,High
16,63,42,998,34,Flood,Medium
43,49,26,998,370,Flood,Extreme
44,24,13,997,8,Cyclone,Low
48,22,36,981,245,Earthquake,Extreme
24,95,43,1025,156,Wildfire,High
34,71,25,986,424,Wildfire,Extreme
16,100,2,1014,117,Cyclone,Medium
36,42,44,987,184,Wildfire,High
32,83,40,1007,407,Wildfire,Extreme
36,32,21,995,297,Landslide,Extreme
47,44,29,998,138,Wildfire,High
48,77,2,1005,310,Landslide,Extreme
49,44,6,1006,396,Wildfire,Extreme
31,55,12,994,411,Landslide,Extreme
11,65,40,984,440,Landslide,Extreme
43,95,11,996,448,Cyclone,Extreme
37,78,12,984,206,Wildfire,Extreme
33,45,33,999,275,Wildfire,Extreme
50,40,16,998,145,Cyclone,High
10,74,38,1014,154,Earthquake,High
24,25,12,1017,331,Wildfire,Extreme
31,51,15,1005,161,Flood,High
24,64,28,1002,371,Earthquake,Extreme
49,70,32,991,470,Landslide,Extreme
40,92,10,1001,373,Cyclone,Extreme
27,25,38,1016,20,Wildfire,Low
36,37,19,1016,97,Wildfire,Medium
26,36,21,1008,114,Flood,Medium
38,41,2,1006,300,Wildfire,Extreme
43,62,34,982,140,Landslide,High
16,97,31,982,416,Earthquake,Extreme
12,88,16,1016,139,Landslide,Medium
31,24,8,989,367,Earthquake,Extreme
15,83,20,1006,479,Landslide,Extreme
40,25,31,980,164,Flood,High
10,47,3,995,372,Earthquake,Extreme
24,79,43,988,432,Landslide,Extreme
21,95,7,998,210,Earthquake,High
21,33,6,1021,475,Earthquake,Extreme
27,32,21,991,423,Cyclone,Extreme
19,20,17,1015,216,Landslide,High
27,55,7,981,353,Flood,Extreme
40,36,3,984,253,Wildfire,High
38,31,12,995,330,Wildfire,Extreme
35,89,44,1022,37,Wildfire,Medium
38,27,33,1016,223,Landslide,High
21,86,45,989,23,Flood,Medium
32,70,16,1020,232,Earthquake,High
20,97,3,1010,226,Flood,High
42,39,42,996,462,Wildfire,Extreme
14,99,19,995,169,Earthquake,High
46,95,8,1018,418,Landslide,Extreme
38,52,39,984,148,Wildfire,High
49,65,45,985,408,Wildfire,Extreme
11,95,11,1014,86,Earthquake,Medium
47,89,1,981,398,Landslide,Extreme
14,83,14,1003,199,Landslide,High
38,29,11,1023,202,Wildfire,High
24,39,6,986,467,Flood,Extreme
41,86,39,1012,152,Flood,High
48,86,23,1018,469,Wildfire,Extreme
13,80,30,1009,277,Flood,Extreme
36,67,27,985,124,Wildfire,High
35,91,37,988,5,Cyclone,Medium
28,33,18,1017,295,Landslide,Extreme
45,20,38,997,343,Cyclone,Extreme
44,54,34,1016,500,Flood,Extreme
43,23,34,985,486,Cyclone,Extreme
17,93,41,998,219,Landslide,Extreme
47,85,8,1023,118,Earthquake,High
48,36,14,1008,56,Flood,Medium
22,97,10,1005,75,Landslide,Medium
10,86,17,993,154,Landslide,High
16,78,21,992,54,Flood,Medium
41,41,27,1020,335,Wildfire,Extreme
12,99,2,1018,423,Earthquake,Extreme
11,26,43,991,179,Landslide,High
27,76,5,992,436,Earthquake,Extreme
31,87,34,995,129,Landslide,High
39,99,14,1012,356,Wildfire,Extreme
46,57,11,1022,70,Flood,Medium
45,84,10,991,307,Earthquake,Extreme
14,63,18,988,70,Cyclone,Medium
40,67,23,995,198,Cyclone,High
33,93,25,1024,282,Wildfire,Extreme
45,99,40,1009,68,Cyclone,High
40,96,1,998,198,Flood,High
14,54,10,993,263,Flood,High
18,44,4,982,400,Cyclone,Extreme
18,46,1,1007,375,Cyclone,Extreme
30,66,42,1003,178,Cyclone,High
35,69,26,987,221,Landslide,Extreme
44,39,7,1011,205,Landslide,High
13,26,40,1018,79,Earthquake,Medium
38,35,30,994,252,Landslide,Extreme
23,64,25,1001,0,Cyclone,Low
28,41,31,997,380,Earthquake,Extreme
43,54,41,984,243,Wildfire,Extreme
